cowid," parity"," current dim"," days after breeding"," repro status"," days next breeding"," gestation length"," days dry"," test DIM"," test milk"," test fat%"," test protein%"," test scc"," 305d ME milk"," test bodyweight"," future days dry"," future gestation length"," breed"," NM$"," KeepValue"
1662,5,287,215,Preg,10,283,0,286,22.0,3.1,3.2,-1,21439,-1,60,280,HO,117,151
1679,5,193,80,Preg,10,281,0,192,2.0,3.3,2.8,-1,32288,-1,60,280,HO,-52,748
1694,5,8,0,Open,10,-1,0,7,94.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,-94,231
1695,5,136,0,Open,10,-1,0,135,56.0,3.0,3.6,-1,16334,-1,60,280,HO,157,496
1703,5,340,159,Preg,10,281,0,339,70.0,3.7,3.4,-1,30210,-1,60,280,HO,-17,1159
1722,5,252,160,Preg,10,281,0,251,16.0,3.4,3.0,-1,18112,-1,60,280,HO,-93,454
1748,4,328,247,Preg,10,281,56,328,-1.0,-1.0,-1.0,-1,31475,-1,60,280,HO,99,701
1756,4,413,173,Preg,10,281,0,412,32.0,5.0,4.0,-1,31518,-1,60,280,HO,438,672
1761,4,242,166,Preg,10,281,0,241,38.0,3.8,3.6,-1,17494,-1,60,280,HO,277,1145
1771,5,247,173,Preg,10,281,0,246,76.0,3.5,3.0,-1,25632,-1,60,280,HO,190,421
1773,5,252,137,Preg,10,281,0,251,72.0,3.1,2.9,-1,27200,-1,60,280,HO,-1,297
1775,4,289,97,Preg,10,281,0,288,64.0,4.3,3.4,-1,26197,-1,60,280,HO,145,828
1786,4,166,82,Preg,10,281,0,165,112.0,2.9,2.7,-1,26837,-1,60,280,HO,52,428
1814,5,195,53,Preg,10,281,0,194,64.0,3.8,3.2,-1,23446,-1,60,280,HO,181,54
1820,5,240,145,Preg,10,283,0,239,96.0,4.1,3.2,-1,30871,-1,60,280,HO,220,713
1852,4,340,271,Preg,10,281,56,340,-1.0,-1.0,-1.0,-1,25499,-1,60,280,HO,66,1162
1858,4,330,163,Preg,10,281,0,329,80.0,4.3,3.6,-1,29131,-1,60,280,HO,54,410
