Index,Lact#,DIM,DaysSBrd,DaysTilNxtHt,DaysTilDue,DaysDry,Repr,DIM_Tst,Milk,Fat%,Pro%,SCCAct,Proj305MEM,Rat,Stat,Brd,Merit$,HfrMerit$
3001,3,248,173,,108,,P,247,24,3.8,3.2,,17040,E,2,HO,121,
3002,3,174,10,12,271,,,173,118,3.5,3,,31479,A,2,HO,322,
3006,3,221,145,,136,,P,220,64,3.4,2.9,,23208,D,2,HO,163,
3007,3,208,,,,,C,207,70,4,3.4,,26864,A,2,JE,223,
3009,3,208,138,,143,,P,207,78,3.3,2.9,,28003,C,2,HO,67,
3010,3,257,95,,188,,P,256,36,4.5,3.4,,16266,D,2,XX,35,
3011,3,238,142,,139,,P,237,12,3.6,3.1,,19406,E,2,HO,180,
3012,3,94,19,3,262,,,93,112,2.9,2.8,,26466,C,2,HO,160,
3015,3,186,66,,215,,P,185,40,4.3,4,,21889,D,2,HO,,127
3018,3,41,,,,,,40,122,4.7,3.4,,,,2,HO,333,
3019,3,243,104,,177,,P,242,80,3.5,3.3,,27868,B,2,HO,,259
3020,3,220,82,,199,,P,219,68,4.2,3.4,,28671,B,2,HO,207,
3023,3,186,110,,171,,P,185,56,4.8,3.2,,25594,D,2,HO,188,
3024,3,188,117,,163,,P,187,60,3.8,3.3,,17641,D,2,JE,,132
3025,3,213,138,,143,,P,212,52,4.7,3.1,,25905,B,2,HO,120,
3028,3,219,103,,178,,P,218,92,4,3.3,,27839,B,2,HO,,175
3029,3,191,117,,164,,P,190,76,3,3,,28289,C,2,HO,150,
3030,3,238,166,,115,,P,237,92,2.9,3.1,,29672,B,2,HO,245,
3034,3,163,89,,192,,P,162,68,3.1,3.1,,23462,D,2,HO,,259
3035,3,101,26,17,255,,,100,110,3.3,3.1,,27894,B,2,HO,,
3037,3,86,12,10,269,,,85,84,3.5,2.8,,21463,D,2,HO,,
3039,3,160,89,,192,,P,159,92,2.9,3,,28629,B,2,HO,133,
3042,3,208,30,13,251,,,207,56,1.8,3.2,,22218,E,2,HO,,149
3043,3,140,34,9,247,,,139,98,2.6,2.9,,26215,D,2,HO,,169
3045,3,193,117,,164,,P,192,76,4,3.2,,29453,A,2,HO,279,
3047,3,184,110,,171,,P,183,88,2.1,2.9,,26755,C,2,HO,-98,
3049,2,179,4,18,279,,,178,124,3.7,2.8,,29237,A,2,XX,136,
3050,3,18,,,,,,17,76,,,,,,2,HO,90,
3054,3,184,89,,192,,P,183,100,3.6,2.9,,31248,A,2,HO,163,
3056,2,322,40,3,241,,,321,78,4,3.2,,33746,A,2,HO,,
3058,3,154,83,,198,,P,153,108,3.1,2.8,,30433,B,2,HO,,
3059,3,106,7,15,274,,,105,64,6.3,2.7,,14252,E,2,HO,-2,
3060,3,195,124,,157,,P,194,72,3.3,2.8,,21878,D,2,HO,201,
3063,3,82,12,10,269,,,81,120,3.9,2.6,,28656,B,2,HO,205,
3064,3,132,40,3,241,,,131,106,2.1,2.9,,27078,C,2,HO,274,
3065,3,198,119,,162,,P,197,76,4.1,3.2,,24951,C,2,HO,106,
3067,3,187,117,,164,,P,186,72,3,3.2,,22768,E,2,HO,82,
3068,3,115,40,3,241,,,114,104,3.4,3,,27102,B,2,HO,148,
3070,3,107,10,12,271,,,106,100,2.2,3.2,,24154,D,2,HO,369,
3071,3,150,75,,206,,P,149,112,3.1,2.9,,30663,A,2,HO,137,
3072,3,209,82,,199,,P,208,72,2.8,2.9,,24845,D,2,HO,22,
3077,3,73,,,,,,72,76,3.7,3.1,,21985,D,2,HO,,
3078,3,70,,,,,,69,106,3.2,2.9,,25905,C,2,HO,297,
3085,3,41,,,,,,40,112,3.9,3.1,,,,2,HO,,116
3086,3,179,40,3,241,,,178,60,3.1,2.9,,22253,D,2,HO,,
3089,2,334,12,10,269,,,333,72,3,3.3,,37115,A,2,HO,-26,
3090,4,174,78,,203,,P,173,68,3.2,3.2,,27129,B,2,HO,167,
3093,3,153,16,6,265,,,152,100,3.2,3,,27985,B,2,HO,230,
3095,3,98,26,17,255,,,97,84,2.7,2.7,,22651,E,2,HO,233,
3097,3,66,,,,,,65,90,4.4,2.7,,25741,B,2,HO,100,
3098,3,141,16,6,267,,,140,92,3.5,2.9,,26041,A,2,XX,-19,
3101,2,369,169,,112,,P,368,20,3.8,3.6,,29599,B,2,HO,67,
3103,3,140,47,,234,,P,139,84,4,3.2,,26759,B,2,HO,231,
3107,3,76,5,17,276,,,75,104,3.1,2.8,,27695,B,2,HO,109,
3108,3,164,6,16,277,,,163,48,3.1,3.5,,16941,D,2,XX,51,
3111,2,346,224,,57,7,P,346,,,,,32957,A,1,HO,,-113
3114,2,351,238,,43,21,P,351,,,,,31906,A,1,HO,417,
3116,3,87,12,10,269,,,86,104,3.4,2.8,,28142,B,2,HO,159,
3117,3,144,29,14,252,,,143,96,3.3,2.9,,26901,C,2,HO,138,
3118,3,109,33,10,248,,,108,92,3.5,2.8,,25837,C,2,HO,,
3120,2,289,243,,38,28,P,289,,,,,25366,B,1,HO,359,
3121,3,4,,,,,,3,56,,,,,,2,HO,256,
3125,3,12,,,,,,11,92,,,,,,2,HO,300,
3128,3,34,,,,,,33,97.8,,,,,,2,HO,157,
3135,3,82,12,10,269,,,81,136,3.7,2.5,,30268,A,2,HO,,166
3136,3,79,5,17,276,,,78,118,2.7,2.9,,27421,C,2,HO,,
3138,3,121,47,,234,,P,120,92,3.3,3.1,,25267,C,2,HO,74,
3139,3,16,,,,,,15,88,,,,,,2,HO,277,
3141,3,84,12,10,269,,,83,96,3.7,2.6,,27642,B,2,HO,131,
3145,3,67,,,,,,66,130,3.4,2.6,,27450,B,2,HO,147,
3147,3,32,,,,,,31,104,,,,,,2,HO,,125
3151,2,303,166,,115,,P,302,54,4.3,3.8,,28099,B,2,HO,,184
3152,3,24,,,,,,23,108,,,,,,2,HO,,-93
3155,3,99,27,16,254,,,98,92,3.4,3,,23514,C,2,HO,112,
3161,3,48,,,,,C,47,124,4.3,2.6,,,,2,HO,,233
3162,2,289,203,,78,,P,288,64,3.3,2.9,,30688,C,2,HO,104,
3165,3,27,,,,,,26,104,,,,,,2,HO,166,
3168,3,264,194,,87,,P,263,48,4.6,3.2,,23891,C,2,HO,270,
3170,2,421,,,,,C,420,32,3.6,3.2,,31753,A,2,HO,83,
3171,2,319,264,,17,42,P,319,,,,,27084,B,1,HO,169,
3174,3,12,,,,,,11,96,,,,,,2,HO,149,
3175,3,65,,,,,,64,108,3.4,3.2,,27891,B,2,HO,207,
3176,3,58,,,,,,57,108,3.4,3,,,,2,HO,173,
3177,2,314,261,,20,119,P,314,,,,,26749,B,1,HO,348,
3179,2,363,219,,62,56,P,363,,,,,32834,A,1,HO,345,
3180,2,317,257,,24,35,P,317,,,,,29144,B,1,HO,169,
3181,2,334,208,,73,,P,333,40,4.9,3.4,,27443,B,2,HO,171,
3183,3,58,,,,,,57,76,3.7,3.5,,,,2,HO,178,
3187,2,169,8,14,273,,,168,88,3.5,2.9,,29355,A,2,HO,135,
3189,2,318,285,,-4,63,P,318,,,,,30291,B,1,HO,75,
3190,2,407,,,,,C,406,64,4.4,3.7,,37147,A,2,HO,436,
3191,3,4,,,,,,3,32,,,,,,2,HO,-122,
3193,2,378,247,,34,28,P,378,,,,,31097,A,1,HO,119,
3196,2,313,261,,20,42,P,313,,,,,38694,A,1,HO,250,
3197,2,326,118,,163,,P,325,,,,,23732,D,2,HO,68,
3198,3,59,,,,,,58,88,4,3.1,,,,2,HO,150,
3199,3,46,,,,,,45,64,3.5,3.3,,,,2,JE,271,
3201,2,341,,,,,C,340,68,3.9,3.7,,31006,A,2,HO,199,
3202,3,28,,,,,,27,120,,,,,,2,HO,404,
3205,3,9,,,,,,8,112,,,,,,2,HO,222,
3206,3,20,,,,,,19,96,,,,,,2,HO,0,
3209,2,298,28,15,253,,,297,74,4,3.5,,31068,A,2,HO,195,
3210,3,59,,,,,,58,80,3.6,3.1,,,,2,HO,16,
3211,2,301,144,,137,,P,300,36,4.5,3.1,,29563,B,2,HO,136,
3213,2,401,221,,60,,P,400,6,3.6,3.1,,38886,A,2,HO,261,
3214,2,221,145,,136,,P,220,28,4.8,3.6,,19982,D,2,HO,86,
3215,2,333,,,,,C,332,48,4.7,3.7,,27618,A,2,HO,455,
3218,2,292,271,,10,49,P,292,,,,,24474,D,1,HO,99,
3219,3,35,,,,,,34,108,2.5,4.4,,,,2,HO,,8
3220,2,310,132,,149,,P,309,,,,,29671,A,2,HO,180,
3221,2,326,199,,82,28,P,326,,,,,28085,B,1,HO,209,
3223,2,380,239,,42,21,P,380,,,,,35988,A,1,HO,252,
3224,2,340,120,,161,,P,339,76,3.8,3.4,,31092,A,2,HO,194,
3226,3,34,,,,,,33,88,3.5,4.2,,,,2,HO,,
3227,3,13,,,,,,12,100,,,,,,2,HO,188,
3228,2,357,206,,75,28,P,357,,,,,25024,C,1,HO,62,
3230,3,22,,,,,,21,96,,,,,,2,HO,103,
3232,2,286,251,,30,35,P,286,,,,,28459,B,1,HO,319,
3233,2,314,162,,119,,P,313,50,3.9,3.3,,28993,B,2,HO,187,
3234,2,314,269,,12,49,P,314,,,,,26299,C,1,HO,120,
3236,2,257,12,10,269,,,256,78,3.6,3.4,,31291,A,2,HO,193,
3237,2,288,115,,166,,P,287,64,3.6,3.1,,32034,B,2,HO,58,
3238,3,3,,,,,,2,,,,,,,2,HO,271,
3240,2,343,202,,79,,P,342,36,4.4,3.6,,31101,A,2,HO,283,
3241,3,3,,,,,,2,,,,,,,2,HO,153,
3243,2,297,264,,16,42,P,297,,,,,26055,A,1,JE,52,
3245,3,36,,,,,,35,88,5.2,4.1,,,,2,XX,,
3246,2,272,150,,131,,P,271,44,4.2,3.1,,19422,E,2,HO,331,
3250,3,55,,,,,,54,80,3.3,3.2,,,,2,HO,,22
3253,2,357,167,,114,,P,356,52,3.6,3.6,,32108,A,2,HO,342,
3255,3,31,,,,,,30,100,,,,,,2,HO,140,
3256,3,20,,,,,,19,108,,,,,,2,HO,92,
3257,2,316,235,,46,14,P,316,,,,,32982,B,1,HO,165,
3258,3,24,,,,,,23,116,,,,,,2,HO,177,
3259,2,316,136,,145,,P,315,44,3.8,3,,28331,B,2,HO,157,
3264,2,274,19,3,262,,,273,70,3,2.9,,28461,C,2,HO,60,
3265,3,22,,,,,,21,102,,,,,,2,XX,326,
3267,2,293,259,,24,56,P,293,,,,,22749,C,1,XX,72,
3268,2,357,166,,115,,P,356,48,3.7,3,,33020,A,2,HO,168,
3272,3,27,,,,,,26,108,,,,,,2,HO,105,
3280,2,295,229,,52,7,P,295,,,,,27998,B,1,HO,281,
3283,2,310,174,,109,,P,309,34,4.7,3,,24235,B,2,XX,127,
3285,2,216,145,,136,,P,215,86,3.1,3.2,,28064,C,2,HO,154,
3286,2,295,271,,12,49,P,295,,,,,20285,C,1,XX,262,
3287,2,293,222,,59,,P,292,40,4.3,3.4,,30986,A,2,HO,234,
3289,2,308,243,,38,28,P,308,,,,,22815,D,1,HO,,218
3290,2,238,31,12,250,,,237,68,3.7,3.1,,25675,C,2,HO,,190
3292,2,279,32,11,249,,,278,,,,,29562,B,2,HO,150,
3294,2,282,264,,16,56,P,282,,,,,18814,C,1,JE,231,
3295,2,286,207,,74,,P,285,68,5.1,3.3,,24485,D,2,HO,182,
3297,2,298,257,,24,35,P,298,,,,,26580,B,1,HO,324,
3298,2,306,218,,63,,P,305,36,3.9,3.4,,26628,B,2,HO,,
3303,2,285,243,,38,28,P,285,,,,,26324,B,1,HO,218,
3304,2,303,238,,43,28,P,303,,,,,25572,C,1,HO,60,
3306,2,251,180,,101,,P,250,50,3.4,3.4,,23603,D,2,HO,234,
3307,2,329,185,,96,,P,328,52,2.9,3.1,,30123,B,2,HO,267,
3308,2,240,166,,115,,P,239,36,4,3.4,,27146,C,2,HO,263,
3311,2,289,,,,,C,288,36,3.9,3.5,,25534,C,2,HO,225,
3314,2,303,213,,68,28,P,303,,,,,25927,C,1,HO,220,
3315,2,212,108,,173,,P,211,68,3.9,3.1,,29399,B,2,HO,291,
3316,2,296,236,,45,14,P,296,,,,,29618,B,1,HO,382,
3317,2,252,180,,101,,P,251,48,3.9,3.2,,25097,C,2,HO,347,
3318,2,325,178,,105,,P,324,36,4.4,3.5,,20985,C,2,XX,221,
3319,2,304,166,,115,,P,303,52,3.1,3.6,,26298,B,2,HO,259,
3320,2,191,31,12,250,,,190,86,3.1,2.9,,29963,B,2,HO,340,
3322,2,257,215,,66,28,P,257,,,,,21617,E,1,HO,152,
3323,2,302,213,,68,28,P,302,,,,,23125,E,1,HO,28,
3324,2,252,180,,101,,P,251,44,4.1,3.3,,21809,D,2,HO,78,
3325,2,293,243,,38,21,P,293,,,,,25745,D,1,HO,96,
3326,2,223,24,19,257,,,222,64,3.6,3.2,,25680,C,2,HO,,
3327,2,249,174,,106,,P,248,26,5,3.7,,19912,B,2,JE,260,
3328,2,291,121,,160,,P,290,48,3.3,3.1,,25614,C,2,HO,187,
3329,2,204,91,,190,,P,203,68,3.4,3.2,,27692,C,2,HO,190,
3331,2,228,152,,129,,P,227,64,3.5,3.4,,28349,B,2,HO,231,
3332,2,294,222,,59,,P,293,44,3.8,3.2,,27663,B,2,HO,426,
3334,2,241,43,0,238,,,240,84,2.7,3.2,,33471,A,2,HO,275,
3335,2,261,187,,94,,P,260,32,4,3.2,,20566,D,2,HO,,
3336,2,261,160,,121,,P,260,52,3,3.1,,26424,C,2,HO,84,
3338,2,254,11,11,270,,,253,66,3.7,3.4,,28440,B,2,HO,267,
3339,2,292,200,,81,,P,291,48,3.4,3,,31911,A,2,HO,90,
3340,2,283,236,,45,28,P,283,,,,,19858,E,1,HO,138,
3342,2,284,213,,68,28,P,284,,,,,21045,D,1,HO,,
3344,2,283,236,,45,28,P,283,,,,,22808,D,1,HO,269,
3346,2,268,194,,89,,P,267,36,3.8,3.8,,24218,A,2,XX,206,
3347,2,291,116,,165,,P,290,32,2.4,3.4,,22959,D,2,HO,71,
3348,2,283,,,,,C,282,,,,,27078,B,2,HO,250,
3351,2,293,236,,45,14,P,293,,,,,31039,A,1,HO,340,
3354,2,259,243,,38,56,P,259,,,,,15529,E,1,HO,33,
3355,2,296,243,,38,21,P,296,,,,,25752,B,1,HO,149,
3358,2,250,95,,186,,P,249,56,4.1,3.4,,25258,C,2,HO,160,
3359,2,271,175,,106,,P,270,26,3.5,2.8,,23975,C,2,HO,272,
3360,2,251,96,,185,,P,250,94,3.3,3.1,,31743,A,2,HO,308,
3361,2,246,173,,108,,P,245,68,4,3,,25818,B,2,HO,336,
3362,2,283,236,,45,28,P,283,,,,,20617,E,1,HO,217,
3363,2,300,203,,78,,P,299,48,3.9,3.5,,31510,A,2,HO,221,
3364,2,300,208,,73,,P,299,52,4,3.3,,25381,C,2,HO,383,
3365,2,306,121,,160,,P,305,32,4,3.6,,27807,B,2,HO,243,
3366,2,264,94,,187,,P,263,48,4,3.3,,26336,B,2,HO,234,
3368,2,303,206,,75,,P,302,34,4,3.3,,23868,C,2,HO,241,
3369,2,176,67,,214,,P,175,84,3.3,3.2,,25840,C,2,HO,159,
3372,2,298,229,,52,7,P,298,,,,,24776,C,1,HO,102,
3374,2,196,73,,208,,P,195,68,4.1,3.3,,24115,C,2,HO,315,
3375,2,297,229,,52,7,P,297,,,,,29834,A,1,HO,,
3377,2,291,172,,109,28,P,291,,,,,26245,B,1,HO,,
3378,2,242,167,,114,,P,241,64,3.6,3.2,,27088,C,2,HO,136,
3379,2,287,193,,88,,P,286,68,4.2,3.1,,29945,A,2,HO,184,
3380,2,251,236,,45,56,P,251,,,,,18550,E,1,HO,0,
3381,2,191,99,,182,,P,190,60,5.2,3.5,,21533,D,2,HO,107,
3383,2,240,166,,115,,P,239,52,4.4,2.9,,23698,C,2,HO,184,
3384,2,242,80,,201,,P,241,36,5.2,3.8,,22126,D,2,HO,165,
3386,2,244,147,,133,,P,243,56,4.2,3.8,,27119,A,2,JE,453,
3388,2,91,19,3,262,,,90,104,3.2,2.7,,27517,B,2,HO,452,
3389,2,270,194,,87,,P,269,44,4.6,3.6,,28059,A,2,HO,448,
3390,2,291,194,,87,,P,290,68,3.7,3.1,,31694,A,2,HO,171,
3391,2,295,229,,52,7,P,295,,,,,29638,A,1,HO,545,
3393,2,277,47,,234,,P,276,44,4.2,3.2,,26476,C,2,HO,212,
3394,2,305,166,,115,,P,304,32,3.8,3,,22859,D,2,HO,199,
3395,2,288,232,,49,14,P,288,,,,,24467,C,1,HO,521,
3396,2,169,26,17,255,,,168,28,4.2,3.2,,15996,E,2,HO,83,
3397,2,270,222,,59,28,P,270,,,,,22668,D,1,HO,225,
3398,2,280,236,,47,28,P,280,,,,,20455,C,1,XX,127,
3400,2,297,222,,59,,P,296,46,3.3,3.2,,27126,C,2,HO,191,
3401,2,293,201,,80,,P,292,48,3.9,3.4,,25718,C,2,HO,216,
3404,2,291,215,,66,,P,290,46,3.6,3.5,,33056,A,2,HO,301,
3405,2,257,243,,37,56,P,257,,,,,21258,B,1,JE,142,
3406,2,286,215,,66,,P,285,28,4.2,3.4,,26547,B,2,HO,248,
3408,2,281,208,,73,,P,280,52,3.6,3.4,,27010,B,2,HO,174,
3410,2,196,30,13,251,,,195,86,5.3,2.9,,27253,A,2,HO,209,
3412,2,225,152,,129,,P,224,64,3.6,2.9,,29526,B,2,HO,140,
3413,2,274,145,,136,,P,273,44,3.5,3.2,,24113,C,2,HO,185,
3414,2,269,194,,89,,P,268,32,4.7,3.5,,18650,C,2,XX,281,
3416,2,192,58,,223,,P,191,60,3.8,3,,25078,C,2,HO,186,
3417,2,164,89,,192,,P,163,80,4.3,3.2,,24477,B,2,HO,169,
3418,2,53,,,,,,52,74,3.7,2.6,,,,2,HO,439,
3419,2,258,45,,236,,P,257,72,3.6,3.1,,28460,B,2,HO,,
3420,2,142,5,17,278,,,141,86,4.3,2.9,,24523,A,2,XX,163,
3421,2,252,180,,101,,P,251,44,3.5,3.2,,26662,C,2,HO,340,
3422,2,252,180,,101,,P,251,28,4.6,3.1,,18254,E,2,HO,190,
3423,2,252,90,,191,,P,251,52,4.3,3.2,,22093,D,2,HO,169,
3424,2,197,124,,157,,P,196,76,3.2,3.2,,31471,A,2,HO,344,
3425,2,252,180,,101,,P,251,52,4.5,3.3,,29807,A,2,HO,199,
3426,2,241,166,,115,,P,240,76,3.6,3.3,,31113,A,2,HO,233,
3427,2,91,19,3,262,,,90,106,3.2,2.8,,26909,C,2,HO,151,
3428,2,171,41,2,240,,,170,108,3,2.9,,30843,B,2,HO,328,
3429,2,227,,,,,C,226,70,4.2,3.3,,27863,B,2,HO,245,
3430,2,231,41,2,240,,,230,68,3.5,3,,26926,C,2,HO,88,
3431,2,235,143,,138,,P,234,66,3.9,3.4,,30204,A,2,HO,186,
3432,2,238,166,,115,,P,237,32,4,3.2,,25026,C,2,HO,204,
3434,2,192,92,,189,,P,191,76,3.5,3.1,,27241,C,2,HO,137,
3435,2,221,145,,138,,P,220,58,4.3,3.8,,22622,B,2,XX,448,
3436,2,227,142,,139,,P,226,80,3.3,3.3,,28877,B,2,HO,471,
3438,2,206,131,,150,,P,205,48,3.8,3.1,,22890,D,2,HO,82,
3439,2,95,19,3,262,,,94,140,3.3,2.7,,31293,A,2,HO,202,
3441,2,228,152,,129,,P,227,88,3.6,2.9,,31637,A,2,HO,121,
3443,2,55,,,,,,54,96,3.7,2.8,,,,2,HO,163,
3445,2,191,121,,160,,P,190,84,3.3,2.9,,29311,B,2,HO,130,
3447,2,199,124,,157,,P,198,100,2.9,2.8,,38006,A,2,HO,271,
3448,2,241,166,,115,,P,240,48,4.8,3.5,,21625,D,2,HO,368,
3449,2,124,7,15,274,,,123,32,4.7,3,,25628,B,2,HO,175,
3451,2,234,79,,202,,P,233,36,3,2.8,,21672,E,2,HO,185,
3452,2,226,152,,129,,P,225,74,4.1,3.3,,31630,A,2,HO,321,
3453,2,225,99,,182,,P,224,74,3.4,3.1,,26392,C,2,HO,196,
3454,2,189,89,,192,,P,188,43.6,4.2,3.6,,22669,C,2,HO,239,
3455,2,182,39,4,242,,,181,96,4.2,3.2,,27651,B,2,HO,190,
3456,2,224,131,,150,,P,223,46,3.5,3.3,,22203,D,2,HO,-80,
3457,2,77,5,17,276,,,76,94,3.9,3,,24800,C,2,HO,217,
3458,2,89,19,3,262,,,88,130,3.3,2.7,,31155,A,2,HO,240,
3460,2,214,72,,209,,P,213,64,3.7,3.4,,28295,B,2,HO,242,
3461,2,221,146,,135,,P,220,52,3.7,3.5,,22721,D,2,HO,288,
3462,2,197,52,,229,,P,196,84,2.9,3.1,,29453,B,2,HO,204,
3465,2,144,22,0,259,,,143,104,3.6,3.2,,29630,A,2,HO,426,
3466,2,180,89,,192,,P,179,68,3.6,3.4,,25287,C,2,HO,183,
3468,2,134,14,8,267,,,133,68,5.3,3.4,,20154,D,2,HO,161,
3469,2,196,37,6,244,,,195,74,3.9,3.3,,31185,A,2,HO,356,
3471,2,184,88,,193,,P,183,72,3.4,2.9,,26644,C,2,HO,28,
3472,2,79,5,17,278,,,78,90,3.3,3,,26575,A,2,XX,423,
3473,2,186,110,,173,,P,185,80,2.5,3,,26037,B,2,XX,258,
3474,2,159,24,19,259,,,158,80,4,3.6,,26120,A,2,XX,430,
3475,2,185,83,,198,,P,184,64,3.7,3,,22638,D,2,HO,136,
3476,2,135,38,5,243,,,134,86,3.4,2.9,,25740,C,2,HO,311,
3477,2,67,,,,,,66,112,2.9,3,,29061,B,2,HO,333,
3478,2,181,110,,171,,P,180,88,2.1,3.3,,26809,D,2,HO,101,
3479,2,188,117,,164,,P,187,76,2.6,3.3,,27097,C,2,HO,203,
3480,2,138,22,0,258,,,137,72,5.2,3.6,,24353,A,2,JE,242,
3482,2,120,47,,234,,P,119,112,3.3,2.9,,29791,B,2,HO,-44,
3483,2,174,11,11,270,,,173,64,2.5,3.1,,25119,D,2,HO,87,
3484,2,173,94,,187,,P,172,66,2.9,3.2,,25251,D,2,HO,113,
3485,2,164,66,,215,,P,163,92,3.4,3.1,,30662,A,2,HO,330,
3486,2,175,103,,178,,P,174,76,3.4,3.1,,28581,B,2,HO,259,
3487,2,88,12,10,269,,,87,106,3.2,2.9,,30192,A,2,HO,276,
3490,2,144,10,12,271,,,143,84,2.4,2.9,,31873,B,2,HO,124,
3492,2,167,27,16,256,,,166,28,4.7,3.9,,18899,C,2,XX,524,
3493,2,157,58,,223,,P,156,68,3.3,3,,25743,C,2,HO,81,
3494,2,169,82,,199,,P,168,56,2.9,3.4,,23408,D,2,HO,229,
3495,2,22,,,,,,21,92,,,,,,2,HO,228,
3496,2,168,7,15,274,,,167,68,3.4,3,,19871,E,2,HO,225,
3497,2,162,45,,236,,P,161,68,4.7,3.8,,23833,C,2,HO,153,
3498,2,154,11,11,272,,,153,80,2.7,3,,26978,A,2,XX,199,
3501,2,111,40,3,241,,,110,106,2.6,2.8,,29654,B,2,HO,172,
3502,2,157,82,,199,,P,156,64,4,3.6,,21660,D,2,HO,233,
3505,2,161,89,,192,,P,160,84,3.2,2.9,,25604,C,2,HO,271,
3506,2,153,48,,233,,P,152,92,2.6,3.3,,26884,C,2,HO,463,
3507,2,151,75,,206,,P,150,92,3.4,2.9,,30397,A,2,HO,207,
3508,2,146,32,11,249,,,145,80,3.3,3.7,,23863,C,2,HO,229,
3511,1,494,189,,92,,P,493,30,4.6,3.4,,28828,B,6,HO,-26,
3513,2,135,25,18,256,,,134,90,3,3,,26903,C,2,HO,173,
3514,2,144,5,17,278,,,143,70,4.1,2.9,,26021,A,2,XX,97,
3516,2,118,48,,233,,P,117,100,2.9,2.9,,28444,C,2,HO,164,
3517,2,95,19,3,262,,,94,100,3.8,2.9,,25978,C,2,HO,198,
3519,2,129,54,,227,,P,128,92,3.6,3.2,,28147,B,2,HO,216,
3521,2,139,4,18,279,,,138,78,3.8,3,,25855,A,2,XX,529,
3523,2,135,61,,219,,P,134,64,4.3,3.5,,19053,B,2,JE,286,
3524,2,116,43,0,238,,,115,56,2.6,3,,22525,E,2,HO,275,
3527,2,82,12,10,269,,,81,64,3.8,2.7,,22537,D,2,HO,124,
3529,2,39,,,,,,38,120,3.4,3.5,,,,2,HO,130,
3530,1,481,215,,66,,P,480,24,3.6,3.7,,25736,C,6,HO,199,
3534,1,451,249,,32,28,P,451,,,,,29301,A,1,HO,360,
3535,2,91,19,3,262,,,90,108,3.6,3,,25111,C,2,HO,143,
3536,2,125,54,,226,,P,124,70,4.7,3.4,,23246,A,2,JE,398,
3537,2,3,,,,,,2,,,,,,,2,HO,143,
3539,2,105,33,10,248,,,104,108,2.6,2.5,,29284,C,2,HO,241,
3541,2,130,12,10,269,,,129,72,3.8,3.2,,23350,C,2,HO,231,
3542,2,127,55,,226,,P,126,76,4.2,3.1,,27184,B,2,HO,185,
3543,2,128,54,,227,,P,127,96,3.4,3,,30071,A,2,HO,339,
3545,2,129,20,2,261,,,128,84,2.9,2.8,,30317,B,2,HO,274,
3546,1,473,,,,,C,472,36,3.8,3.5,,26390,B,6,HO,217,
3547,2,126,54,,227,,P,125,80,3.5,3.2,,25532,C,2,HO,282,
3548,2,112,40,3,241,,,111,,,,,23099,D,2,HO,243,
3549,2,43,,,,,,42,96,3.9,3.5,,,,2,HO,193,
3550,2,127,54,,226,,P,126,72,5.2,3.6,,24181,A,2,JE,262,
3551,2,121,7,15,274,,,120,80,4.1,2.8,,28563,B,2,HO,194,
3553,2,125,54,,227,,P,124,94,3.7,3.2,,25328,C,2,HO,239,
3554,1,412,269,,12,56,P,412,,,,,26293,B,1,HO,307,
3555,2,31,,,,,,30,78,,,,,,2,HO,205,
3556,2,114,17,5,264,,,113,88,3.6,3,,26020,B,2,HO,307,
3558,1,466,,,,,C,465,56,4.4,3.3,,31198,A,6,HO,380,
3559,2,115,25,18,256,,,114,80,3.6,3.1,,24447,C,2,HO,149,
3560,2,64,,,,,,63,104,4.2,3,,26152,B,2,HO,218,
3561,1,437,241,,40,28,P,437,,,,,26860,C,1,HO,151,
3562,2,53,,,,,,52,108,2.9,3.2,,,,2,HO,205,
3564,2,97,26,17,255,,,96,102,3.6,3,,28761,A,2,HO,229,
3565,2,96,26,17,255,,,95,60,3.3,3.1,,24099,D,2,HO,169,
3566,2,42,,,,,,41,114,5,3.1,,,,2,HO,179,
3567,2,59,,,,,,58,110,3.6,2.7,,,,2,HO,282,
3568,2,89,19,3,262,,,88,84,3.3,3,,25670,C,2,HO,200,
3569,2,36,,,,,,35,100,3.8,3.6,,,,2,HO,105,
3570,1,402,274,,7,56,P,402,,,,,28955,A,1,HO,333,
3572,2,45,,,,,,44,96,2.8,3.1,,,,2,HO,321,
3573,1,413,263,,18,42,P,413,,,,,27210,B,1,HO,115,
3575,2,37,,,,,,36,96,4.5,4,,,,2,HO,263,
3577,2,68,,,,,,67,92,3.7,2.7,,27473,B,2,HO,,152
3579,2,38,,,,,,37,108,4.8,3.9,,,,2,HO,248,
3580,2,97,26,17,257,,,96,76,4,2.8,,24162,B,2,XX,226,
3581,2,68,,,,,,67,84,2.1,2.8,,24216,D,2,HO,312,
3582,2,53,,,,,,52,96,4.6,2.6,,,,2,HO,186,
3583,2,88,12,10,269,,,87,100,3,2.9,,29092,B,2,HO,218,
3584,2,91,19,3,262,,,90,100,3.9,3.1,,22007,D,2,HO,,182
3585,2,94,19,3,262,,,93,72,3.3,2.9,,28675,B,2,HO,112,
3586,2,94,19,3,262,,,93,100,3.8,3,,30455,A,2,HO,255,
3587,1,390,266,,15,49,P,390,,,,,28994,B,1,HO,317,
3588,2,40,,,,,,39,110,5.7,3.9,,,,2,HO,341,
3591,2,91,19,3,262,,,90,80,2.8,3.1,,22811,D,2,HO,189,
