cowid," parity"," current dim"," days after breeding"," repro status"," days next breeding"," gestation length"," days dry"," test DIM"," test milk"," test fat%"," test protein%"," test scc"," 305d ME milk"," test bodyweight"," future days dry"," future gestation length"," breed"," NM$"," KeepValue"
3596,2,19,0,Open,10,-1,0,18,124.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,254,377
3597,2,20,0,Open,10,-1,0,19,96.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,174,827
3598,2,84,12,Bred,10,281,0,83,1.4E-45,1.4E-45,1.4E-45,-1,18184,-1,60,280,HO,180,770
3599,2,92,19,Bred,3,281,0,91,76.0,3.1,2.6,-1,28729,-1,60,280,HO,117,352
3600,2,21,0,Open,10,-1,0,20,48.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,423,980
3601,2,37,0,Open,10,-1,0,36,114.0,4.1,3.5,-1,-1,-1,60,280,HO,284,234
3602,2,21,0,Open,10,-1,0,20,88.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,77,647
3603,2,78,5,Bred,17,281,0,77,102.0,3.4,2.7,-1,28098,-1,60,280,HO,120,575
3604,2,50,0,Open,10,-1,0,49,98.0,3.5,3.1,-1,-1,-1,60,280,HO,170,960
3605,2,92,8,Bred,14,281,0,91,84.0,3.6,3.3,-1,27060,-1,60,280,HO,288,280
3606,2,89,19,Bred,3,281,0,88,114.0,3.9,3.0,-1,31254,-1,60,280,HO,420,1142
3607,2,86,12,Bred,10,281,0,85,64.0,5.1,3.0,-1,21694,-1,60,280,HO,203,724
3608,1,433,119,Preg,10,281,0,432,40.0,4.7,3.7,-1,26540,-1,60,280,HO,0,628
3609,1,405,249,Preg,10,281,28,405,-1.0,-1.0,-1.0,-1,30140,-1,60,280,HO,194,741
3611,2,58,0,Open,10,-1,0,57,100.0,3.8,2.9,-1,-1,-1,60,280,HO,290,1008
3612,2,88,12,Bred,10,281,0,87,80.0,3.3,3.0,-1,24296,-1,60,280,HO,236,237
3613,1,432,165,Preg,10,281,0,431,40.0,4.1,3.5,-1,26167,-1,60,280,HO,256,38
3614,2,51,0,Open,10,-1,0,50,90.0,4.5,3.4,-1,-1,-1,60,280,HO,317,163
3615,2,80,5,Bred,17,281,0,79,88.0,3.5,2.8,-1,26918,-1,60,280,HO,253,756
3616,2,21,0,Open,10,-1,0,20,106.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,290,755
3617,2,52,0,Open,10,-1,0,51,84.0,2.6,3.3,-1,-1,-1,60,280,HO,268,1145
3618,2,65,0,Open,10,-1,0,64,76.0,4.6,3.4,-1,23740,-1,60,280,HO,291,1074
3620,2,72,0,Open,10,-1,0,71,94.0,4.5,3.1,-1,27392,-1,60,280,HO,173,525
3621,2,78,5,Bred,17,281,0,77,84.0,2.6,3.1,-1,23651,-1,60,280,HO,123,378
3622,2,76,5,Bred,17,281,0,75,70.0,3.9,3.2,-1,19891,-1,60,280,HO,227,974
3623,2,82,12,Bred,10,281,0,81,92.0,3.5,2.7,-1,27974,-1,60,280,HO,158,453
3624,2,78,5,Bred,17,281,0,77,98.0,1.9,2.7,-1,26081,-1,60,280,HO,181,351
3625,2,61,0,Open,10,-1,0,60,114.0,3.4,2.7,-1,-1,-1,60,280,HO,287,52
3626,2,55,0,Open,10,-1,0,54,80.0,4.4,3.2,-1,-1,-1,60,280,HO,204,554
3627,2,40,0,Open,10,-1,0,39,88.0,3.8,3.8,-1,-1,-1,60,280,HO,174,225
